notebook_image_index,notebook_cell,notebook_output_index,width_px,height_px,category,new_filename,relative_path
43,114,3,1127,1076,figures/sample_predictions/original_test,efficientnet_b0_finetuning_4_layers_random_predictions.png,figures/sample_predictions/original_test/efficientnet_b0_finetuning_4_layers_random_predictions.png
44,114,5,1127,1076,figures/error_analysis/original_test,efficientnet_b0_finetuning_4_layers_wrong_predictions.png,figures/error_analysis/original_test/efficientnet_b0_finetuning_4_layers_wrong_predictions.png
45,116,3,1289,1171,figures/confusion_matrices/external_test,efficientnet_b0_finetuning_4_layers_external_test_confusion_matrix.png,figures/confusion_matrices/external_test/efficientnet_b0_finetuning_4_layers_external_test_confusion_matrix.png
46,116,5,1026,985,figures/external_test_predictions,efficientnet_b0_finetuning_4_layers_external_test_sample_predictions.png,figures/external_test_predictions/efficientnet_b0_finetuning_4_layers_external_test_sample_predictions.png
47,116,6,1026,985,figures/error_analysis/external_test,efficientnet_b0_finetuning_4_layers_external_test_wrong_predictions.png,figures/error_analysis/external_test/efficientnet_b0_finetuning_4_layers_external_test_wrong_predictions.png
48,121,0,989,590,figures/training_curves,efficientnet_b0_finetuning_5_layers_accuracy_curve.png,figures/training_curves/efficientnet_b0_finetuning_5_layers_accuracy_curve.png
49,121,1,989,590,figures/training_curves,efficientnet_b0_finetuning_5_layers_loss_curve.png,figures/training_curves/efficientnet_b0_finetuning_5_layers_loss_curve.png
50,122,1,1314,1189,figures/confusion_matrices/original_test,efficientnet_b0_finetuning_5_layers_confusion_matrix.png,figures/confusion_matrices/original_test/efficientnet_b0_finetuning_5_layers_confusion_matrix.png
51,122,3,1127,1076,figures/sample_predictions/original_test,efficientnet_b0_finetuning_5_layers_random_predictions.png,figures/sample_predictions/original_test/efficientnet_b0_finetuning_5_layers_random_predictions.png
52,122,5,1127,1076,figures/error_analysis/original_test,efficientnet_b0_finetuning_5_layers_wrong_predictions.png,figures/error_analysis/original_test/efficientnet_b0_finetuning_5_layers_wrong_predictions.png
53,124,3,1289,1171,figures/confusion_matrices/external_test,efficientnet_b0_finetuning_5_layers_external_test_confusion_matrix.png,figures/confusion_matrices/external_test/efficientnet_b0_finetuning_5_layers_external_test_confusion_matrix.png
54,124,5,1026,985,figures/external_test_predictions,efficientnet_b0_finetuning_5_layers_external_test_sample_predictions.png,figures/external_test_predictions/efficientnet_b0_finetuning_5_layers_external_test_sample_predictions.png
55,124,6,1026,985,figures/error_analysis/external_test,efficientnet_b0_finetuning_5_layers_external_test_wrong_predictions.png,figures/error_analysis/external_test/efficientnet_b0_finetuning_5_layers_external_test_wrong_predictions.png
56,143,0,536,392,figures/training_curves,vgg16_accuracy_curve.png,figures/training_curves/vgg16_accuracy_curve.png
57,143,1,523,392,figures/training_curves,vgg16_loss_curve.png,figures/training_curves/vgg16_loss_curve.png
58,145,1,1064,1489,figures/sample_predictions/original_test,vgg16_original_test_one_sample_per_class_predictions.png,figures/sample_predictions/original_test/vgg16_original_test_one_sample_per_class_predictions.png
59,153,0,1111,988,figures/confusion_matrices/original_test,vgg16_original_test_confusion_matrix_counts.png,figures/confusion_matrices/original_test/vgg16_original_test_confusion_matrix_counts.png
60,154,0,1106,988,figures/confusion_matrices/original_test,vgg16_original_test_confusion_matrix_normalized.png,figures/confusion_matrices/original_test/vgg16_original_test_confusion_matrix_normalized.png
61,158,3,1280,1171,figures/confusion_matrices/external_test,vgg16_external_test_confusion_matrix.png,figures/confusion_matrices/external_test/vgg16_external_test_confusion_matrix.png
62,158,5,1026,985,figures/external_test_predictions,vgg16_external_test_sample_predictions.png,figures/external_test_predictions/vgg16_external_test_sample_predictions.png
63,158,6,1026,985,figures/error_analysis/external_test,vgg16_external_test_wrong_predictions.png,figures/error_analysis/external_test/vgg16_external_test_wrong_predictions.png
64,160,0,1176,590,figures/model_comparison,model_accuracy_comparison_original_vs_external.png,figures/model_comparison/model_accuracy_comparison_original_vs_external.png
